varID,var11_1,var11_2,var11_3,var11_4,var11_5,var11_6,var11_7
3703020101,非常满意,非常满意,非常满意,非常满意,非常满意,非常满意,好很多
3703020102,非常满意,非常满意,比较满意,比较满意,非常满意,比较满意,好一些
3703020103,非常满意,比较满意,非常满意,非常满意,非常满意,非常满意,好很多
3703020104,非常满意,非常满意,比较满意,非常满意,非常满意,非常满意,好很多
3703020105,比较满意,一般,比较满意,一般,比较满意,比较满意,好一些
3703020106,非常满意,非常满意,比较满意,非常满意,非常满意,非常满意,好很多
3703020107,比较满意,比较满意,非常满意,非常满意,非常满意,比较满意,好很多
3703020108,非常满意,非常满意,比较满意,比较满意,非常满意,非常满意,好很多
3703020109,非常满意,非常满意,非常满意,非常满意,非常满意,非常满意,好很多
3703020110,非常满意,比较满意,比较满意,比较满意,非常满意,非常满意,好很多
3703020111,一般,非常满意,比较满意,比较满意,非常满意,非常满意,好很多
3703020112,非常满意,比较满意,比较满意,比较满意,比较满意,比较满意,好很多
3703020201,比较满意,一般,比较满意,比较满意,比较满意,比较满意,好很多
3703020202,比较满意,一般,非常满意,非常满意,非常满意,非常满意,好很多
3703020203,非常满意,非常满意,比较满意,比较满意,非常满意,非常满意,好一些
3703020204,非常满意,比较满意,非常满意,非常满意,非常满意,非常满意,好很多
3703020205,非常满意,一般,比较满意,非常满意,非常满意,比较满意,好很多
3703020206,比较满意,一般,非常满意,非常满意,非常满意,比较满意,好很多
3703020207,非常满意,非常满意,非常满意,非常满意,非常满意,非常满意,好很多
3703020208,非常满意,一般,一般,不太满意,非常满意,非常满意,好很多
3703020209,非常满意,非常满意,非常满意,非常满意,非常满意,非常满意,好很多
3703020210,非常满意,非常满意,非常满意,非常满意,非常满意,很不满意,好很多
3703020211,比较满意,比较满意,比较满意,非常满意,非常满意,非常满意,好很多
3703020212,一般,比较满意,比较满意,比较满意,非常满意,比较满意,好很多
3703030101,比较满意,不太满意,比较满意,非常满意,非常满意,比较满意,差很多
3703030102,非常满意,比较满意,非常满意,非常满意,非常满意,非常满意,好一些
3703030103,不太满意,不太满意,一般,一般,非常满意,非常满意,9999.0
3703030104,非常满意,一般,一般,非常满意,非常满意,非常满意,好很多
3703030105,比较满意,比较满意,比较满意,非常满意,比较满意,比较满意,好很多
3703030106,比较满意,比较满意,比较满意,非常满意,非常满意,非常满意,好很多
3703030107,比较满意,一般,比较满意,非常满意,非常满意,比较满意,好一些
3703030108,非常满意,非常满意,比较满意,非常满意,非常满意,非常满意,好很多
3703030109,非常满意,比较满意,非常满意,比较满意,非常满意,非常满意,差不多
3703030110,非常满意,非常满意,非常满意,非常满意,非常满意,非常满意,好很多
3703030111,非常满意,一般,非常满意,非常满意,非常满意,非常满意,好很多
3703030112,非常满意,比较满意,比较满意,比较满意,非常满意,非常满意,好很多
3703030201,一般,不太满意,不太满意,一般,非常满意,比较满意,好很多
3703030202,比较满意,一般,比较满意,非常满意,非常满意,非常满意,好一些
3703030203,非常满意,非常满意,非常满意,比较满意,非常满意,一般,好很多
3703030204,非常满意,比较满意,比较满意,非常满意,非常满意,非常满意,好很多
3703030205,比较满意,一般,非常满意,非常满意,比较满意,比较满意,好很多
3703030206,比较满意,一般,比较满意,比较满意,非常满意,非常满意,差不多
3703030207,非常满意,非常满意,非常满意,非常满意,非常满意,非常满意,好很多
3703030208,非常满意,一般,非常满意,非常满意,非常满意,非常满意,好很多
3703030209,非常满意,非常满意,非常满意,非常满意,非常满意,非常满意,好很多
3703030210,一般,一般,一般,一般,非常满意,非常满意,好很多
