varID,var17_1,var17_2,var17_2a,var17_3,var17_3a,var17_4,var17_4a,var17_4_1,var17_4_1a,var17_4_2,var17_4_2a,var17_5,var17_6,var17_6a,var17_7,var17_7a,var17_7_1,var17_7_1a,var17_8,var17_9,var17_9a,var17_10,var17_10a,var17_10_1,var17_10_1a,var17_11,var17_12,var17_13,var17_13a,var17_13b,var17_14,var17_14a,var17_14b,var17_15,var17_16,var17_17,var17_18,var17_19,var17_20,var17_21_1a,var17_21_1,var17_21_2,var17_22,var17_23,var17_24,var17_25,var17_26,var17_27,var17_28,var17_29,var17_30,var17_31,var17_32_1,var17_32_2,var17_33,var17_33a,var17_34,var17_34a,var17_35,var17_35a,var17_36,var17_36a,var17_37,var17_37a,var17_38,var17_38a
3703020101,0,,0,,0,,0,,.,,.,0,,0,,0,,.,0,,0,,0,,.,0,10000,1,,10000,.,,0,0,3500,3300,200,0,0,,0,24060,60,0,0,0,0,24000,0,0,0,0,37560,差不多,差不多,,差不多,,差不多,,差不多,,中等水平,,非常不满意,
3703020102,301,a21,301,,0,,0,,.,,.,0,,0,,0,,.,0,,0,,0,,.,0,0,,,0,.,,0,20000,1760,1760,0,0,0,,0,3440,0,0,0,0,0,1440,0,0,2000,0,25501,减少较多,有所减少,,减少较多,,有所增加,,差不多,,中等水平,,比较满意,
3703020103,0,,0,,0,,0,,.,,.,0,,0,,0,,.,0,,0,,0,,.,0,8400,5,,8400,.,,0,0,2750,2750,0,0,0,,0,3000,0,0,0,0,0,3000,0,0,0,0,14150,有所减少,差不多,,差不多,,差不多,,有所减少,,中等水平,,非常满意,
3703020104,0,,0,,0,,0,,.,,.,0,,0,,0,,.,0,,0,,0,,.,0,0,,,0,.,,0,102960,2640,2640,0,0,0,利息,1800,_500,0,0,0,0,0,0,0,0,_500,0,106900,有所增加,差不多,,有所增加,,差不多,,差不多,,中等水平,,比较满意,
3703020105,0,,0,,0,,0,,.,,.,0,,0,,0,,.,0,,0,,0,,.,0,150000,11,,150000,.,,0,80000,1800,1800,0,0,0,,0,125,125,0,0,0,0,0,0,0,0,0,239125,有所减少,差不多,,有所减少,,差不多,,差不多,,中等水平,,比较满意,
3703020106,0,,0,,0,,0,,.,,.,0,,0,,0,,.,0,,0,,0,,.,0,50000,11,,50000,.,,0,2050,,2050,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,52050,差不多,差不多,,差不多,,差不多,,差不多,,中等水平,,非常满意,
3703020107,1300,a1,1200,a2,100,,0,,.,,.,0,,0,,0,,.,0,,0,,0,,.,0,0,,,0,.,,0,10000,5500,5500,0,0,0,,0,1541,125,0,0,0,0,1416,0,0,0,0,18341,差不多,有所减少,,差不多,,差不多,,差不多,,中等水平,,非常满意,
3703020108,1000,a2,1000,,0,,0,,.,,.,0,,0,,0,,.,0,,0,,0,,.,0,0,,,0,.,,0,0,320,320,0,0,0,退休金,60000,1656,120,0,0,0,0,1536,0,0,0,0,62976,差不多,差不多,,,,差不多,,差不多,,比较高,,非常满意,
3703020109,0,,0,,0,,0,,.,,.,0,,0,,0,,.,0,,0,,0,,.,0,0,,,0,.,,0,0,400,400,0,0,0,,0,3952,0,0,0,0,0,2952,0,0,1000,0,4352,差不多,差不多,,差不多,,差不多,,差不多,,中等水平,,非常满意,
3703020110,0,,0,,0,,0,,.,,.,0,,0,,0,,.,0,,0,,0,,.,0,0,,,0,.,,0,45000,660,660,0,0,0,,0,_1800,0,0,0,0,0,0,0,0,0,_1800,43860,差不多,差不多,,差不多,,差不多,,差不多,,中等水平,,一般,
