varID,var20_0,var20_1,var20_2,var20_3,var20_4,var20_5,var20_6,var20_7,var20_8,var20_8a,var20_9,var20_10,var20_11,var20_12,var20_13,var20_14,var20_15,var20_16,var20_17,var20_18
3703020101,回答者,1,66,165,70,一般,变好,6,11,,否,是,2,否,是,是,是,是,.5,非常满意
3703020101,其他成员1,2,64,160,65,一般,变好,6,11,,否,是,2,否,是,是,是,是,.5,非常满意
3703020102,回答者,1,65,167,76,好,差不多,6,1,,否,否,2,是,是,是,是,是,.5,比较满意
3703020103,回答者,1,65,170,70,很好,变好,6,11,,是,否,2,是,是,是,是,否,.2,非常满意
3703020103,其他成员1,2,64,163,65,很好,差不多,6,11,,否,否,2,是,是,是,是,否,.2,非常满意
3703020104,回答者,2,39,154,52.5,很好,差不多,6,11,,是,是,3,否,是,是,是,是,.5,非常满意
3703020105,回答者,2,61,161,60,一般,变差,6,1,,否,否,2,否,是,是,是,否,.5,比较满意
3703020106,回答者,1,49,170,90,一般,差不多,6,3,,是,是,1,是,是,是,是,否,.2,非常满意
3703020107,回答者,1,72,170,72.5,很好,差不多,6,11,,否,否,2,否,否,否,否,否,.02,比较满意
3703020107,其他成员1,2,71,156,60,很好,差不多,6,11,,否,否,2,否,否,否,否,否,.02,比较满意
3703020108,回答者,2,74,160,60,好,差不多,6,11,,否,是,2,是,否,否,否,是,.1,非常满意
3703020108,其他成员1,1,75,172,60,一般,差不多,6,3,,否,是,2,是,是,是,否,是,.1,非常满意
3703020109,回答者,1,71,170,67.5,很好,差不多,6,11,,否,是,2,是,否,是,是,否,.2,非常满意
3703020109,其他成员1,2,72,156,67.5,很好,差不多,6,11,,否,是,2,是,否,是,是,否,.2,非常满意
3703020110,回答者,1,38,176,70,好,差不多,6,11,,否,否,1,是,是,是,是,否,.5,非常满意
3703020111,回答者,2,48,160,70,很好,变好,6,11,,否,否,3,是,是,是,是,是,.1,比较满意
3703020112,回答者,1,50,175,93,好,变好,6,11,,是,是,2,是,是,是,是,否,.1,比较满意
3703020201,回答者,1,43,162,60,很好,差不多,6,11,,否,是,2,是,是,是,是,是,.2,比较满意
3703020202,回答者,1,40,185,74,很好,差不多,6,11,,是,是,3,否,否,否,否,是,.5,不太满意
