varID,var3a_1,var3a_2,var3a_3,var3a_4,var3a_4a,var3a_5,var3a_5a,var3a_6,var3a_7,var3a_8,var3a_9,var3a_10,var3a_10a,var3a_11,var3a_12,var3a_13,var3a_14,var3a_15,var3a_16,var3a_17,var3a_18,var3a_19,var3a_19a,var3a_20,var3a_20a,var3a_21,var3a_21a,var3a_22,var3a_23
3703020101,a,2.4,2018,4,,3,,2,否,是,1,4,,是,9999.0,9999,是,现金,1100,,.,一年一付,,2,,,,是,一般
3703020101,b,.6,2019,4,,3,,5,否,是,1,4,,是,9999.0,9999,是,现金,1100,,.,一年一付,,2,,,,是,一般
3703020102,a,1.6,2018,4,,2,,5,否,是,1,4,,否,否,.,是,现金,1100,,.,一年一付,,2,,,,否,以前不认识
3703020103,a,1.6,2013,4,,1,,2,否,是,1,4,,否,否,.,是,现金,1100,,.,一年一付,,2,,,,是,较好
3703020103,b,.9,2018,4,,1,,2,否,是,1,4,,否,否,.,是,现金,1100,,.,一年一付,,2,,,,是,较好
3703020104,a,1.6,2018,4,,2,,3,是,是,1,4,,是,是,9999,是,现金,1100,,.,一年一付,,2,,,,否,
3703020104,b,.8,2018,4,,2,,1,否,是,1,4,,否,否,9999,是,现金,1100,,.,一年一付,,2,,,,否,
3703020105,a,1.8,2018,4,,3,,0.8,否,是,1,4,,是,是,10,是,现金,1000,,.,一年一付,,2,,,,否,以前不认识
3703020106,a,1.5,2018,4,,3,,2,否,是,1,4,,是,否,.,是,现金,1100,,.,一年一付,,2,,,,否,
3703020106,b,.5,2019,4,,3,,2,否,是,1,4,,是,否,.,是,现金,800,,.,一年一付,,2,,,,否,
3703020107,a,5,2017,4,,3,,1,否,是,1,4,,是,是,10,是,现金,1100,,.,一年一付,,2,,,,是,较好
3703020108,a,.4,2015,4,,1,,2,否,是,1,4,,是,是,10,是,现金,800,,.,一年一付,,2,,,,是,一般
3703020109,a,.5,2019,1,,1,,2,否,是,2,4,,否,否,.,是,现金,800,,.,一年一付,,2,,,,否,
3703020110,a,.36,2018,4,,1,,2,否,是,1,4,,是,9999.0,9999,是,现金,1100,,.,一年一付,,2,,,,否,
3703020110,b,.24,2019,4,,1,,2,否,是,1,4,,是,9999.0,9999,是,现金,1100,,.,一年一付,,2,,,,否,
3703020111,a,1.8,2019,4,,9999,,2,否,是,1,4,,否,否,.,是,现金,1100,,.,一年一付,,2,,,,否,以前不认识
3703020112,a,1.6,2015,4,,3,,2,否,是,1,4,,是,是,10,是,现金,1100,,.,一年一付,,1,,,,是,较好
3703020201,a,.,,,,,,,,,,,,,,.,,,,,.,,,,,,,,
3703020202,a,.,,,,,,,,,,,,,,.,,,,,.,,,,,,,,
3703020203,a,3.9,2016,3,,2,,1,否,是,1,4,,是,否,.,是,现金,1000,,.,一年一付,,2,,,,是,较好
