varID,var3b_1,var3b_2,var3b_3,var3b_4,var3b_5,var3b_6,var3b_7,var3b_8,var3b_8a,var3b_9,var3b_10,var3b_11,var3b_12,var3b_12a,var3b_13,var3b_14,var3b_15,var3b_16,var3b_17,var3b_17a,var3b_18,var3b_18a,var3b_19,var3b_19a,var3b_20,var3b_21,var3b_22,var3b_22a,var3b_23
3703020101,c,.,.,.,,,,,,,,.,,,,,,.,,,,,,,,,,,
3703020102,c,.,.,.,,,,,,,,.,,,,,,.,,,,,,,,,,,
3703020103,c,.,.,.,,,,,,,,.,,,,,,.,,,,,,,,,,,
3703020104,c,.,.,.,,,,,,,,.,,,,,,.,,,,,,,,,,,
3703020105,c,.,.,.,,,,,,,,.,,,,,,.,,,,,,,,,,,
3703020106,c,.,.,.,,,,,,,,.,,,,,,.,,,,,,,,,,,
3703020107,c,.,.,.,,,,,,,,.,,,,,,.,,,,,,,,,,,
3703020108,c,.,.,.,,,,,,,,.,,,,,,.,,,,,,,,,,,
3703020109,c,.,.,.,,,,,,,,.,,,,,,.,,,,,,,,,,,
3703020110,c,.,.,.,,,,,,,,.,,,,,,.,,,,,,,,,,,
3703020111,c,.,.,.,,,,,,,,.,,,,,,.,,,,,,,,,,,
3703020112,c,.,.,.,,,,,,,,.,,,,,,.,,,,,,,,,,,
3703020201,c,.,.,.,,,,,,,,.,,,,,,.,,,,,,,,,,,
3703020202,c,.,.,.,,,,,,,,.,,,,,,.,,,,,,,,,,,
3703020203,c,.,.,.,,,,,,,,.,,,,,,.,,,,,,,,,,,
3703020204,c,2.2,2018,2,否,是,1,1,,否,否,.,1,,现金,200,,.,一年一付,,收获后,,,,是,一般,1,,3000
3703020204,d,.2,2018,1,否,是,1,1,,否,否,.,1,,现金,200,,.,一年一付,,收获后,,,,是,一般,1,,100
3703020205,c,.,.,.,,,,,,,,.,,,,,,.,,,,,,,,,,,
3703020206,c,.,.,.,,,,,,,,.,,,,,,.,,,,,,,,,,,
3703020207,c,.,.,.,,,,,,,,.,,,,,,.,,,,,,,,,,,
3703020208,c,.,.,.,,,,,,,,.,,,,,,.,,,,,,,,,,,
3703020209,c,.,.,.,,,,,,,,.,,,,,,.,,,,,,,,,,,
3703020210,c,5,2018,1.5,是,是,1,1,,否,否,.,1,,现金,200,,.,一年一付,,收获后,,,,是,较好,1,,3500
3703020210,d,3.2,2014,1,否,是,1,1,,否,否,.,1,,现金,200,,.,一年一付,,收获后,,,,是,较好,1,,2100
3703020211,c,.,.,.,,,,,,,,.,,,,,,.,,,,,,,,,,,
3703020212,c,.,.,.,,,,,,,,.,,,,,,.,,,,,,,,,,,
3703030101,c,.,.,.,,,,,,,,.,,,,,,.,,,,,,,,,,,
3703030102,c,.,.,.,,,,,,,,.,,,,,,.,,,,,,,,,,,
3703030103,c,.,.,.,,,,,,,,.,,,,,,.,,,,,,,,,,,
3703030104,c,1,2018,.14,否,是,1,1,,否,否,.,1,,现金,150,,.,其他,二年一付,收获后,,,,是,一般,1,,1000
3703030105,c,.,.,.,,,,,,,,.,,,,,,.,,,,,,,,,,,
3703030106,c,.,.,.,,,,,,,,.,,,,,,.,,,,,,,,,,,
3703030107,c,.,.,.,,,,,,,,.,,,,,,.,,,,,,,,,,,
3703030108,c,.,.,.,,,,,,,,.,,,,,,.,,,,,,,,,,,
3703030109,c,.,.,.,,,,,,,,.,,,,,,.,,,,,,,,,,,
3703030110,c,.,.,.,,,,,,,,.,,,,,,.,,,,,,,,,,,
3703030111,c,.,.,.,,,,,,,,.,,,,,,.,,,,,,,,,,,
3703030112,c,.,.,.,,,,,,,,.,,,,,,.,,,,,,,,,,,
3703030201,c,1,2017,1,是,是,1,1,,否,是,2,1,,现金,200,,.,一年一付,,收获后,,,,是,一般,"1,2",,300
3703030202,c,40,2019,2,否,是,2,1,,是,是,5,1,,现金,500,,.,一年一付,,收获前,,,,是,较好,3,,9999
3703030203,c,.,.,.,,,,,,,,.,,,,,,.,,,,,,,,,,,
3703030204,c,.,.,.,,,,,,,,.,,,,,,.,,,,,,,,,,,
3703030205,c,10,2018,1,否,是,1,1,,是,是,2,1,,现金,300,,.,其他,两年一付,收获后,,,,是,较好,1,,1000
3703030205,d,3,2018,1,否,是,1,1,,是,是,2,1,,现金,100,,.,其他,两年一付,收获后,,,,是,较好,2,,1000
3703030206,c,.,.,.,,,,,,,,.,,,,,,.,,,,,,,,,,,
3703030207,c,.,.,.,,,,,,,,.,,,,,,.,,,,,,,,,,,
3703030208,c,.,.,.,,,,,,,,.,,,,,,.,,,,,,,,,,,
3703030209,c,.,.,.,,,,,,,,.,,,,,,.,,,,,,,,,,,
3703030210,c,.,.,.,,,,,,,,.,,,,,,.,,,,,,,,,,,
3703030211,c,.,.,.,,,,,,,,.,,,,,,.,,,,,,,,,,,
3703030212,c,.,.,.,,,,,,,,.,,,,,,.,,,,,,,,,,,
3703010101,c,.,.,.,,,,,,,,.,,,,,,.,,,,,,,,,,,
3703010102,c,.,.,.,,,,,,,,.,,,,,,.,,,,,,,,,,,
3703010103,c,.,.,.,,,,,,,,.,,,,,,.,,,,,,,,,,,
3703010104,c,.,.,.,,,,,,,,.,,,,,,.,,,,,,,,,,,
3703010105,c,.,.,.,,,,,,,,.,,,,,,.,,,,,,,,,,,
3703010106,c,.,.,.,,,,,,,,.,,,,,,.,,,,,,,,,,,
3703010107,c,.,.,.,,,,,,,,.,,,,,,.,,,,,,,,,,,
3703010108,c,.,.,.,,,,,,,,.,,,,,,.,,,,,,,,,,,
3703010109,c,.,.,.,,,,,,,,.,,,,,,.,,,,,,,,,,,
3703010110,c,.,.,.,,,,,,,,.,,,,,,.,,,,,,,,,,,
3703010111,c,.,.,.,,,,,,,,.,,,,,,.,,,,,,,,,,,
3703010112,c,.,.,.,,,,,,,,.,,,,,,.,,,,,,,,,,,
3703010201,c,.,.,.,,,,,,,,.,,,,,,.,,,,,,,,,,,
3703010202,c,.,.,.,,,,,,,,.,,,,,,.,,,,,,,,,,,
3703010203,c,.,.,.,,,,,,,,.,,,,,,.,,,,,,,,,,,
3703010204,c,.,.,.,,,,,,,,.,,,,,,.,,,,,,,,,,,
3703010205,c,1.3,2017,2,否,是,1,1,,否,否,.,1,,现金,1000,,.,一年一付,,收获后,,,,是,一般,3,,6000
3703010205,d,.7,2017,2,否,是,1,1,,否,否,.,1,,现金,1000,,.,一年一付,,收获后,,,,是,一般,3,,3000
3703010206,c,3,2015,4,是,是,1,1,,否,,.,1,,现金,300,,.,一年一付,,收获后,,,,,,1,,4800
3703010207,c,1.2,2017,6,是,是,1,1,,否,否,.,1,,现金,200,,.,一年一付,,收获后,,,,是,较好,1,,0
3703010208,c,2,2005,4,否,是,1,1,,否,否,.,2,,,,,.,,,,,3,,是,较好,1,,1000
3703010209,c,.,.,.,,,,,,,,.,,,,,,.,,,,,,,,,,,
3703010210,c,2,2009,3,否,否,1,1,,是,是,30,1,,现金,140,,.,一次付清,,,,,,是,较好,2,,350
3703010211,c,.,.,.,,,,,,,,.,,,,,,.,,,,,,,,,,,
3703010212,c,.,.,.,,,,,,,,.,,,,,,.,,,,,,,,,,,
3701030201,c,.,.,.,,,,,,,,.,,,,,,.,,,,,,,,,,,
3701030202,c,.,.,.,,,,,,,,.,,,,,,.,,,,,,,,,,,
3701030203,c,.,.,.,,,,,,,,.,,,,,,.,,,,,,,,,,,
3701030204,c,25.8,2020,.1,是,是,1,1,,否,否,.,1,,现金,500,,.,一年一付,,收获后,,1,,是,较好,1,,1300
3701030204,d,15,2015,.6,是,是,1,1,,否,否,.,1,,现金,500,,.,一年一付,,收获后,,1,,是,较好,1,,1300
3701030205,c,.,.,.,,,,,,,,.,,,,,,.,,,,,,,,,,,
3701030206,c,1,2014,1,否,是,1,4,,否,是,10,1,,现金,300,,.,一次付清,,,,,,是,较好,1,,1000
3701030207,c,.,.,.,,,,,,,,.,,,,,,.,,,,,,,,,,,
3701030208,c,.,.,.,,,,,,,,.,,,,,,.,,,,,,,,,,,
3701030209,c,.,.,.,,,,,,,,.,,,,,,.,,,,,,,,,,,
3701030210,c,.,.,.,,,,,,,,.,,,,,,.,,,,,,,,,,,
3701030211,c,.,.,.,,,,,,,,.,,,,,,.,,,,,,,,,,,
3701030212,c,.,.,.,,,,,,,,.,,,,,,.,,,,,,,,,,,
3701030101,c,.,.,.,,,,,,,,.,,,,,,.,,,,,,,,,,,
3701030102,c,.,.,.,,,,,,,,.,,,,,,.,,,,,,,,,,,
3701030103,c,3,2010,2,是,是,1,1,,否,否,.,1,,现金,200,,.,一年一付,,收获后,,3,,是,较好,1,,2100
3701030104,c,.,.,.,,,,,,,,.,,,,,,.,,,,,,,,,,,
3701030105,c,.,.,.,,,,,,,,.,,,,,,.,,,,,,,,,,,
3701030106,c,.,.,.,,,,,,,,.,,,,,,.,,,,,,,,,,,
3701030107,c,.,.,.,,,,,,,,.,,,,,,.,,,,,,,,,,,
3701030108,c,.,.,.,,,,,,,,.,,,,,,.,,,,,,,,,,,
3701030109,c,.,.,.,,,,,,,,.,,,,,,.,,,,,,,,,,,
3701030110,c,.,.,.,,,,,,,,.,,,,,,.,,,,,,,,,,,
3701030111,c,.,.,.,,,,,,,,.,,,,,,.,,,,,,,,,,,
3701030112,c,4,2010,1,否,是,1,4,,是,是,10,1,,现金,500,,.,一年一付,,收获后,,,,是,较好,1,,1000
3701020201,c,.,.,.,,,,,,,,.,,,,,,.,,,,,,,,,,,
3701020202,c,2,2015,10,否,是,1,1,,否,否,.,1,,现金,200,,.,一年一付,,收获后,,,,是,较好,1,,1600
3701020203,c,.,.,.,,,,,,,,.,,,,,,.,,,,,,,,,,,
3701020204,c,.,.,.,,,,,,,,.,,,,,,.,,,,,,,,,,,
3701020205,c,3.5,9999,.5,否,是,1,4,,是,否,.,2,,,,,.,,,,,1,,是,较好,1,,2000
3701020206,c,.,.,.,,,,,,,,.,,,,,,.,,,,,,,,,,,
3701020207,c,.,.,.,,,,,,,,.,,,,,,.,,,,,,,,,,,
3701020208,c,.,.,.,,,,,,,,.,,,,,,.,,,,,,,,,,,
3701020209,c,.,.,.,,,,,,,,.,,,,,,.,,,,,,,,,,,
3701020210,c,.,.,.,,,,,,,,.,,,,,,.,,,,,,,,,,,
3701020211,c,.,.,.,,,,,,,,.,,,,,,.,,,,,,,,,,,
3701020212,c,.,.,.,,,,,,,,.,,,,,,.,,,,,,,,,,,
3701010201,c,.,.,.,,,,,,,,.,,,,,,.,,,,,,,,,,,
3701010202,c,.,.,.,,,,,,,,.,,,,,,.,,,,,,,,,,,
3701010203,c,.,.,.,,,,,,,,.,,,,,,.,,,,,,,,,,,
