varID,var5_6a,var5_6,var5_7,var5_8,var5_9,var5_10,var5_10a,var5_11,var5_12,var5_13,var5_14,var5_15,var5_16,var5_17,var5_18,var5_19,var5_20,var5_21
3703020101,a1,.5,.5,1,.5,3,,0.52,600,否,0,300,否,,.,,.,.
3703020101,a21,.5,.5,1,.5,3,,0.52,600,否,0,300,否,,.,,.,.
3703020102,a21,1,1,3,1,1,,3,400,否,0,400,是,3.6,1.7,否,.,.
3703020102,b2,1,1,3,1,1,,2,200,否,0,200,否,,.,否,.,.
3703020103,,.,.,.,.,,,,,,.,,,,.,,.,.
3703020104,,.,.,.,.,,,,,,.,,,,.,,.,.
3703020105,a1,1,1,2,1,3,,0.2,450,否,0,450,是,3,1,否,.,.
3703020105,b2,1,1,2,1,3,,0.2,250,否,0,250,是,3,1,否,.,.
3703020106,,.,.,.,.,,,,,,.,,,,.,,.,.
3703020107,a1,1,1,1,1,2,,0.3,500,否,0,500,是,1,1,否,.,.
3703020107,a21,1,1,1,1,2,,0.3,750,否,0,750,是,1,1,否,.,.
3703020108,a1,1,1,2,1,2,,0.3,400,否,0,,是,3,1,否,.,.
3703020108,a21,.5,.5,1,1,2,,0.3,400,否,0,,是,3,1,否,.,.
3703020108,b2,.5,.5,1,1,2,,0.3,400,否,0,,是,3,1,否,.,.
3703020109,,.,.,.,.,,,,,,.,,,,.,,.,.
3703020110,,.,.,.,.,,,,,,.,,,,.,,.,.
3703020111,a1,.6,.6,1,1,2,,1,500,否,0,300,否,,.,否,.,.
3703020111,a21,.6,.6,1,1,2,,1,400,否,0,240,否,,.,否,.,.
3703020112,a1,.5,.5,1,.5,2,,0.1,500,否,0,250,是,3,.5,否,.,.
3703020112,a2,.5,.5,1,.5,2,,0.1,600,否,0,300,否,,.,否,.,.
3703020201,a1,3,3,1,.,2,,0.2,400,否,0,1200,是,3,3,否,.,.
3703020201,a2,1,1,1,.,2,,0.1,300,否,0,300,是,3,3,否,.,.
3703020201,b2,1,1,1,.,2,,0.1,250,否,0,250,是,0,0,否,.,.
3703020201,a13,1,1,1,.,2,,0.1,50,否,0,50,是,0,0,否,.,.
3703020202,a1,1.1,1.1,3,1.1,3,,1,450,否,0,495,否,,.,,.,.
3703020202,a21,1.1,1.1,3,1.1,3,,1,400,否,0,440,否,,.,,.,.
3703020203,a1,1,1,1,1,1,,0.5,500,否,0,500,是,3.6,1,否,.,.
3703020203,a21,1,1,1,1,1,,0.5,550,否,0,550,是,3.6,1,否,.,.
3703020204,a1,14,3.7,8,3.4,"2,3",,1,450,否,0,6300,是,3,14,否,.,.
3703020204,a21,9,3.7,3,3.4,"2,3",,1,450,否,0,4050,否,,.,否,.,.
3703020204,b2,3,0,2,3,3,,0.7,300,否,0,900,否,,.,否,.,.
3703020204,a13,2,0,1,2,3,,1.5,200,否,0,400,否,,.,否,.,.
3703020205,a1,2.5,2.5,2,2,3,,0.75,400,否,0,1000,是,4,2.5,否,.,.
3703020205,a21,1,1,1,1,3,,0.75,550,否,0,550,是,4,1,否,.,.
3703020205,b2,1.5,1.5,1,1.5,3,,0.75,250,否,0,375,是,4,1.5,否,.,.
3703020206,a1,1,1,2,1,3,,1,500,否,0,500,是,3,1,否,.,.
3703020206,a21,1,1,2,1,3,,1,400,否,0,400,是,3,1,否,.,.
3703020207,,.,.,.,.,,,,,,.,,,,.,,.,.
3703020208,,.,.,.,.,,,,,,.,,,,.,,.,.
3703020209,,.,.,.,.,,,,,,.,,,,.,,.,.
3703020210,a1,1.1,1.7,4,10.2,3,,2,400,否,0,4400,是,3,11,否,.,.
3703020210,a21,3,0,1,3,3,,2,350,否,0,1050,是,3,3,否,.,.
3703020210,b2,3,0,2,3,3,,2,250,否,0,750,是,3,3,否,.,.
3703020210,a13,5,1.7,1,5,3,,2,200,否,0,1000,是,3,5,否,.,.
3703020211,a1,1,1,2,1,2,,1,500,否,0,500,是,3,1,否,.,.
3703020211,b18,.5,.5,1,.5,2,,1,200,否,0,100,是,3,.5,否,.,.
3703020211,b2,.5,.5,1,.5,2,,1,200,否,0,100,是,3,.5,否,.,.
3703020212,,.,.,.,.,,,,,,.,,,,.,,.,.
3703030101,b2,4,4,4,3.5,4,,0.5,250,否,0,1000,是,3,4,否,.,.
3703030101,a1,6,6,7,4,4,,0.5,150,否,0,900,是,3,6,否,.,.
3703030101,a21,4,4,4,3.5,4,,0.5,300,否,0,1200,是,3,4,否,.,.
3703030102,a1,1.5,1.5,1,1.5,2,,0.5,400,否,0,600,是,2,1.5,否,.,.
3703030102,a21,1.5,1.5,1,1.5,2,,0.5,550,否,0,825,是,2,1.5,否,.,.
3703030102,b2,3,3,2,3,4,,0.5,250,否,0,750,是,2,3,否,.,.
3703030103,a1,1.6,1.6,1,1.6,4,,1,200,否,0,320,否,,.,否,.,.
3703030103,a21,.9,.9,1,1,4,,1,250,否,0,225,否,,.,否,.,.
3703030103,b2,1.6,1.6,1,1.6,4,,1,250,否,0,400,否,,.,否,.,.
3703030104,a1,1,0,1,1,4,,0.14,300,否,0,300,是,3,1,否,.,.
3703030104,a21,1,0,1,1,4,,0.14,350,否,0,350,是,4,1,否,.,.
3703030104,b2,1.5,1.5,1,1.5,4,,0.5,200,否,0,300,是,3.6,1.5,否,.,.
3703030105,a1,1.5,1.5,2,1.5,4,,1.25,400,否,0,600,是,3,1.5,否,.,.
3703030105,a21,1,1,1,1,4,,3,500,否,0,500,是,4,1,否,.,.
3703030105,b2,1,1,1,1,4,,3,150,否,0,150,是,3,1,否,.,.
3703030106,a1,2,2,2,2,4,,2,300,否,0,600,是,3,2,否,.,.
3703030106,a21,2,2,2,2,4,,1,450,否,0,900,是,3,2,否,.,.
3703030106,b2,2,2,1,2,4,,2,200,否,0,400,是,3,2,否,.,.
3703030107,a1,3,3,4,2.5,4,,1,300,否,0,900,是,10,3,否,.,.
3703030107,b2,3,3,4,2.5,4,,1,350,否,0,1050,是,10,3,否,.,.
3703030108,a1,3,3,2,3,4,,0.5,400,否,0,1200,是,2,3,否,.,.
3703030108,a21,3,3,2,3,4,,0.5,500,否,0,1500,是,2,3,否,.,.
3703030108,b2,3,3,2,3,4,,0.5,300,否,0,900,是,2,3,否,.,.
3703030109,a1,1.4,1.4,1,1.4,4,,1,250,是,20,350,是,5,1.4,否,.,.
3703030109,a21,1.4,1.4,1,1.4,4,,1,250,是,20,350,是,5,1.4,否,.,.
3703030109,b2,1.4,1.4,1,1.4,4,,0.5,170,是,20,238,否,,.,否,.,.
3703030110,a1,1.5,1.5,2,1.5,4,,2,350,否,0,525,是,3,1.5,否,.,.
3703030110,a21,.8,.8,1,.8,4,,2,500,否,0,400,是,3,.8,否,.,.
3703030110,b2,.7,.7,1,.7,4,,2,300,否,0,210,是,3,.7,否,.,.
