varID,var5_24a,var5_24,var5_25,var5_26
3703020101,d8,12,0,12
3703020102,,,,
3703020103,,,,
3703020104,,,,
3703020105,,,,
3703020106,,,,
3703020107,,,,
3703020108,,,,
3703020109,,,,
3703020110,,,,
3703020111,,,,
3703020112,,,,
3703020201,,,,
3703020202,,,,
3703020203,,,,
3703020204,,,,
3703020205,,,,
3703020206,,,,
3703020207,,,,
3703020208,,,,
3703020209,,,,
3703020210,,,,
3703020211,,,,
3703020212,,,,
3703030101,,,,
3703030102,,,,
3703030103,,,,
3703030104,,,,
3703030105,,,,
3703030106,d6,3,3,0
3703030107,,,,
3703030108,d8,6,0,6
3703030109,,,,
3703030110,,,,
3703030111,,,,
3703030112,d1,4,2,2
3703030112,d8,10,0,10
3703030201,d6,1,0,5
3703030202,d7,2100,0,2100
3703030203,d5,6,1,5
3703030204,,,,
3703030205,,,,
3703030206,d8,6,0,6
3703030207,,,,
3703030208,,,,
3703030209,,,,
3703030210,,,,
3703030211,,,,
3703030212,,,,
3703010101,,,,
3703010102,,,,
3703010103,,,,
3703010104,,,,
3703010105,,,,
3703010106,,,,
3703010107,,,,
3703010108,d6,6,6,47
3703010108,d5,30,0,70
3703010109,,,,
3703010110,,,,
3703010111,,,,
3703010112,,,,
3703010201,,,,
3703010202,,,,
3703010203,d5,4,0,4
3703010204,,,,
3703010205,,,,
3703010206,,,,
3703010207,,,,
3703010208,,,,
3703010209,,,,
3703010210,,,,
3703010211,,,,
3703010212,,,,
3701030201,,,,
3701030202,d6,140,160,140
3701030203,d5,4,2,5
3701030204,,,,
3701030205,,,,
3701030206,d6,2,0,2
3701030206,d8,9999,9999,9999
3701030207,,,,
3701030208,,,,
3701030209,d1,1,0,1
3701030210,,,,
3701030211,,,,
3701030212,,,,
3701030101,,,,
3701030102,,,,
3701030103,,,,
3701030104,,,,
3701030105,,,,
3701030106,,,,
3701030107,,,,
3701030108,,,,
3701030109,,,,
3701030110,,,,
3701030111,,,,
3701030112,d5,6,3,3
3701020201,,,,
3701020202,,,,
3701020203,,,,
3701020204,,,,
3701020205,d5,2,6,2
3701020206,d5,4,2,2
3701020207,d5,13,13,13
3701020207,d12,6,6,6
3701020208,,,,
3701020209,d5,40,20,20
3701020210,,,,
3701020211,d5,6,8,24
3701020211,d8,15,5,15
3701020212,,,,
3701010201,,,,
3701010202,,,,
3701010203,,,,
3701010204,,,,
3701010205,,,,
3701010206,,,,
3701010207,d5,4,4,4
3701010208,,,,
3701010209,,,,
3701010210,,,,
3701010211,,,,
3701010212,,,,
3701010101,,,,
3701010102,,,,
3701010103,,,,
3701010104,,,,
3701010105,,,,
3701010106,,,,
3701010107,d5,11,8,16
3701010107,d6,1,8,1
3701010108,,,,
3701010109,,,,
3701010110,,,,
3701010111,,,,
3701010112,,,,
3704020101,,,,
3704020102,,,,
3704020103,d13、鸭子,11,0,11
3704020103,d14、鹅,20,0,20
3704020103,d8,50,0,50
3704020104,,,,
3704020105,,,,
3704020106,,,,
3704020107,,,,
3704020108,,,,
3704020109,,,,
3704020110,,,,
3704020111,,,,
3704020112,,,,
3704020113,,,,
3704020201,,,,
3704020202,,,,
3704020203,,,,
3704020204,,,,
3704020205,,,,
3704020206,,,,
3704020207,,,,
3704020208,,,,
3704020209,,,,
3704020210,,,,
3704020211,,,,
3704020212,,,,
3704010201,,,,
3704010202,,,,
3704010203,,,,
3704010204,,,,
3704010205,,,,
3704010206,,,,
3704010207,,,,
3704010208,,,,
3704010209,,,,
3704010210,,,,
3704010211,,,,
3704010212,,,,
3704010101,,,,
