varID,var6_0,var6_1,var6_2,var6_3,var6_4,var6_5,var6_6,var6_6a,var6_7,var6_8,var6_9,var6_10,var6_11,var6_12,var6_13,var6_14,var6_14a,var6_15,var6_16,var6_17,var6_18,var6_19,var6_20,var6_21,var6_22,var6_23,var6_24,var6_25,var6_26,var6_26a,var6_27,var6_28,var6_29,var6_30,var6_31,var6_32,var6_33,var6_34,var6_34a,var6_35,var6_36,var6_37,var6_38,var6_38a,var6_39,var6_40,var6_41,var6_42,var6_43,var6_44,var6_45,var6_46,var6_47,var6_48,var6_49,var6_50,var6_50a,var6_51,var6_52,var6_53,var6_54,var6_55,var6_55a,var6_56,var6_56a,var6_57,var6_58,var6_59,var6_60,var6_61,var6_62,var6_63,var6_64,var6_64a,var6_65,var6_66,var6_67,var6_68,var6_69,var6_70,var6_71,var6_71a
3703020101,粮食作物1,a1,0.5,300,否,是,5,,100,0,30,0.3,0,0,0,4,,100,0,15,0.16,100,21,0.6,0,0,7,3,2,,100,100,0,0,100,10,3,8,,0.3,0,不变,5,,100,0,.,.,100,96,0,0,30,增加,0,,,,0,.,100,1,,1,,6,0,,.,3,0,0,3,,95,5,30,0.3,0,0,15,
3703020101,粮食作物2,a21,0.5,300,否,否,1,,.,.,.,.,,,.,4,,100,0,15,0.16,100,7,0.6,0,0,1,7,2,,100,100,0,0,100,4,9,10,,0.3,0,不变,1,,0,0,.,.,100,96,2,0,30,增加,0,,,,0,.,100,1,,1,,6,0,,.,3,0,0,1,,0,0,0,0,4,0,15,柴油费
3703020102,粮食作物1,a21,1,400,是,是,5,,100,0,90,1,4,1.5,0,,,.,.,.,.,100,51,4,0,0,1.5,34,2,,100,100,0,0,100,10,44,0,,2,0,增加,1,,0,0,0,0,100,240,3,0,75,增加,0,,,,0,.,0,4,,7,下雨,,0,,.,0,.,.,1,,0,0,0,0,24,0,0,
3703020103,粮食作物1,,.,.,,,,,.,.,.,.,,,.,,,.,.,.,.,,,,.,.,.,,,,.,.,.,.,.,.,.,.,,.,.,,,,.,.,.,.,.,,,.,,,,,,,,.,.,,,,,,.,,.,,.,.,,,.,.,.,.,,.,.,
3703020104,粮食作物1,,.,.,,,,,.,.,.,.,,,.,,,.,.,.,.,,,,.,.,.,,,,.,.,.,.,.,.,.,.,,.,.,,,,.,.,.,.,.,,,.,,,,,,,,.,.,,,,,,.,,.,,.,.,,,.,.,.,.,,.,.,
3703020105,粮食作物1,a1,1,450,否,否,5,,100,0,70,0.25,4,0.25,0,4,,100,0,20,0.25,100,60,4,0.25,0,15,4,1,,0,0,0,0.5,100,10,10,0,,0.5,0,不变,1,,0,0,0,0,100,230,0.5,0,60,增加,0,,,,0,.,0,4,,7,下雨,9999,0,,.,0,0,0,3,,100,0,70,0.5,0.5,0,0,
3703020105,粮食作物2,b2,1,250,否,否,5,,100,0,70,0.25,4,0.25,0,"1,4",,100,0,20,0.25,100,30,4,0.25,0,3,10,1,,0,0,0,0.5,100,25,25,0,,0.5,0,不变,1,,0,0,0,0,100,230,0.5,0,60,增加,0,,,,0,.,0,4,,7,下雨,9999,0,,.,0,0,0,3,,100,0,70,0.5,0.5,0,0,
3703020106,粮食作物1,,.,.,,,,,.,.,.,.,,,.,,,.,.,.,.,,,,.,.,.,,,,.,.,.,.,.,.,.,.,,.,.,,,,.,.,.,.,.,,,.,,,,,,,,.,.,,,,,,.,,.,,.,.,,,.,.,.,.,,.,.,
3703020107,粮食作物1,a1,1,500,否,是,5,,100,0,50,0.3,3,0,0,5,,100,0,30,0.3,100,75,3,0,0,15,5,2,,100,100,0,0,100,6,6,6,,2,0,增加,1,,0,0,.,.,100,200,1,0,100,增加,0,,,,0,.,100,1,,4,,3,0,,.,3,0,0,3,,100,0,80,0.3,1,0,0,
3703020107,粮食作物2,a21,1,750,否,否,1,,.,.,.,.,,,.,5,,100,0,20,0.3,100,75,3,0,0,2.5,30,2,,100,100,0,0,100,6,6,6,,2,0,增加,1,,0,0,.,.,100,200,1,0,100,增加,0,,,,0,.,0,4,,7,下雨,,.,,.,,.,.,3,,100,0,60,0.3,1,0,0,
3703020108,粮食作物1,a1,1,400,否,是,5,,100,0,70,0.5,0.5,0,0,3,,100,0,60,0.5,100,30,2,0,0,7.5,4,2,,100,100,0,0,100,35,0,0,,0.5,0,不变,,,.,.,.,.,100,100,0,0,50,增加,0,,,,0,.,100,1,,5,,5,0,,.,5,0,20,3,,100,0,100,0.3,0.1,0,0,
3703020108,粮食作物2,a21,1,400,否,是,5,,100,0,70,0.5,0.5,0,0,3,,100,0,60,0.5,100,51,2,0,0,1.5,34,2,,100,100,0,0,100,10,5,5,,0.5,0,不变,,,.,.,.,.,100,100,0,0,100,增加,0,,,,0,.,100,1,,5,,5,0,,.,5,0,20,3,,100,0,100,0.3,0.1,0,0,
3703020109,粮食作物1,,.,.,,,,,.,.,.,.,,,.,,,.,.,.,.,,,,.,.,.,,,,.,.,.,.,.,.,.,.,,.,.,,,,.,.,.,.,.,,,.,,,,,,,,.,.,,,,,,.,,.,,.,.,,,.,.,.,.,,.,.,
3703020110,粮食作物1,a1,0.1,40,是,是,5,,100,0,3,0.3,2,0,0,4,,100,0,0,0,100,3,0,0,0,1.5,2,1,,0,0,0,0,100,9999,0,0.5,,9999,0,不变,3,,100,0,0,0,100,13,9999,0,50,不变,0,,,,0,.,0,4,,7,下雨,0,0,,.,0,0,0,3,,100,0,6,0.1,0,0,0,
3703020111,粮食作物1,a1,0.6,300,是,否,5,,100,0,110,0.3,3,0,0,4,,100,0,0,0,100,19.8,3,0,0,9,2.2,2,,100,100,0,0,100,20,10,10,,0.3,0,增加,1,,0,0,0,0,100,150,1,0,50,不变,0,,,,0,.,100,2,,1,,6,0,否,.,4,0,0,3,,100,0,110,0.1,2,0,0,
3703020111,粮食作物2,a21,0.6,240,是,否,5,,100,0,110,0.3,3,0,0,4,,100,0,0,0,100,20,3,0,0,1,20,2,,100,100,0,0,100,10,10,10,,0.3,0,增加,1,,0,0,0,0,100,150,1,0,40,不变,0,,,,0,.,100,2,,1,,6,0,否,.,4,0,0,1,,0,0,0,0,7,0,0,
3703020112,粮食作物1,a1,0.5,250,是,是,5,,100,0,100,1,2,0,0,,,.,.,.,.,100,30,,0,0,7.5,4,1,,0,0,0,0,100,15,10,5,,1,0,增加,,,.,.,.,.,100,112,0,0,80,增加,0,,,,,.,100,1,,1,,6,0,否,0,1,0,20,3,,100,0,35,1,1,0,0,
3703020112,粮食作物2,a22,0.5,300,否,否,,,.,.,.,.,,,.,4,,100,0,30,1,100,45,2,0,0,1.5,30,1,,0,0,0,0,100,12,10,5,,1,0,增加,,,.,.,.,.,100,35,0,0,100,增加,0,,,,,.,100,1,,1,,6,0,否,0,1,0,20,3,,100,0,30,1,1,0,0,
3703020201,粮食作物1,a1,3,1200,是,是,5,,100,0,210,1,1.5,0,0,,,.,.,.,.,100,120,,.,.,50,2.4,2,,100,100,0,0,100,20,20,10,,1,0,不变,,,.,.,.,.,100,120,0,0,25,减少,0,,,,25,3,100,1,,1,,1,0,否,0,1,0,50,3,,0,0,270,2,0,0,0,
3703020201,粮食作物2,a21,1,300,否,否,,,.,.,.,.,,,.,4,,100,0,70,1,100,30,2,0,0,1,30,2,,100,100,0,0,100,10,15,0,,1,0,不变,,,.,.,.,.,100,100,0,0,10,不变,0,,,,0,0,100,1,,1,,1,0,否,0,1,0,50,1,,0,0,0,2,1,0,0,
3703020202,粮食作物1,a1,1.1,495,否,是,5,,100,0,50,0.5,2,0,0,4,,100,0,80,1,100,60,0.5,0,0,15,4,2,,100,100,0,0,100,20,20,20,,1,0,不变,3,,100,0,.,.,100,352,0,0,110,不变,0,,,,0,.,100,1,,4,,2,0,否,0,2,0,0,3,,100,10,66,0.5,0.5,0,50,
3703020202,粮食作物2,a21,1.1,440,否,是,5,,100,0,50,0.5,2,0,0,1,,0,0,0,0,100,60,0,24,0,2,30,2,,100,100,0,0,100,40,20,0,,2,0,不变,3,,100,0,.,.,100,352,0,0,110,不变,0,,,,0,.,100,1,,4,,2,0,否,0,2,0,0,1,,0,0,0,0,16,0,50,柴油费
3703020203,粮食作物1,a1,1,500,是,是,5,,100,0,60,0.3,3,2,0,,,.,.,.,.,100,45,,.,.,15,3,2,,100,100,0,0,100,10,20,0,,1,0,增加,,,.,.,.,.,100,140,0,0,100,增加,0,,,,0,.,100,1,,1,,2,0,,.,2,0,40,3,,100,0,80,0.5,1.5,0,0,
3703020203,粮食作物2,a21,1,550,是,是,5,,100,0,60,0.3,3,2,0,,,.,.,.,.,100,48,,.,.,1.5,32,2,,100,100,0,0,100,10,20,0,,1,0,增加,,,.,.,.,.,100,200,0,0,100,增加,0,,,,0,.,100,1,,1,,2,0,,.,2,0,40,3,,100,0,80,0.5,1.5,0,0,
3703020204,粮食作物1,a1,14,6300,是,是,4,,100,100,0,0,2,7,0,3,,.,.,.,.,100,604,,.,.,168,3.6,1,,0,0,.,.,100,140,120,160,,12,0,不变,2,,100,100,0,0,100,1764,,.,700,不变,,,,,,.,100,1,,4,,3,0,否,0,42,0,252,3,,100,0,840,8,0,0,0,
3703020204,粮食作物2,a21,9,4050,否,是,1,,0,0,0,0,0,0,0,3,,100,100,.,.,100,378,2,4,360,22.5,16.8,1,,0,0,.,.,100,100,180,0,,12,0,不变,2,,100,100,0,0,100,1134,,.,450,不变,,,,,,.,100,1,,4,,3,0,否,0,27,0,162,3,,100,0,1080,10,0,0,0,
3703020205,粮食作物1,a1,2.5,1000,是,是,5,,100,0,200,1,3,1,0,,,.,.,.,.,100,112.5,,.,.,37.5,3,1,,0,0,0,0,100,37.5,37.5,0,,2,0,增加,5,人工+机械,50,0,0,1,100,450,1,0,100,增加,0,,,,0,.,100,1,,1,,4,0,,.,10,0,60,3,,100,0,150,1,0,0,0,
3703020205,粮食作物2,a21,1,550,是,是,5,,100,0,80,0.3,3,0.3,0,,,.,.,.,.,100,54,,.,.,1.5,36,1,,0,0,0,0,100,15,15,0,,1,0,增加,3,,100,0,0,0.3,100,180,0.3,0,100,增加,0,,,,0,.,100,1,,1,,4,0,,.,4,0,60,3,,100,0,60,0.3,0,0,0,
3703020206,粮食作物1,a1,1,500,是,否,5,,100,0,80,0.5,2,0,0,4,,100,0,0,0,100,52,2,0,0,20,2.6,2,,100,100,0,0,100,18,25,25,,3,0,不变,1,,0,0,0,0,100,240,2,0,50,增加,0,,,,0,.,100,1,,4,,2.5,0,否,0,5,0,55,3,,100,0,70,0.5,0,0,0,
3703020206,粮食作物2,a21,1,400,否,否,1,,.,.,.,.,,,.,1,,0,0,20,0.5,100,30,2,8,0,1.75,1.7,2,,100,100,0,0,100,30,25,25,,3,0,不变,1,,0,0,0,0,100,240,2,0,50,增加,0,,,,0,.,100,1,,4,,2.5,0,否,0,5,0,55,3,,100,0,70,0.5,0,0,0,
3703020207,粮食作物1,,.,.,,,,,.,.,.,.,,,.,,,.,.,.,.,,,,.,.,.,,,,.,.,.,.,.,.,.,.,,.,.,,,,.,.,.,.,.,,,.,,,,,,,,.,.,,,,,,.,,.,,.,.,,,.,.,.,.,,.,.,
3703020208,粮食作物1,,.,.,,,,,.,.,.,.,,,.,,,.,.,.,.,,,,.,.,.,,,,.,.,.,.,.,.,.,.,,.,.,,,,.,.,.,.,.,,,.,,,,,,,,.,.,,,,,,.,,.,,.,.,,,.,.,.,.,,.,.,
3703020209,粮食作物1,,.,.,,,,,.,.,.,.,,,.,,,.,.,.,.,,,,.,.,.,,,,.,.,.,.,.,.,.,.,,.,.,,,,.,.,.,.,.,,,.,,,,,,,,.,.,,,,,,.,,.,,.,.,,,.,.,.,.,,.,.,
3703020210,粮食作物1,a1,11,4400,是,否,5,,100,0,935,8,1.375,0,0,,,.,.,.,.,100,800,,.,.,440,1.8,1,,0,0,0,0,100,100,30,70,,16,0,增加,1,,0,0,0,0,100,3000,8,0,100,不变,,,,,9999,9999,100,1,,4,,8,0,,.,88,0,440,3,,100,0,660,5,0,0,0,
3703020210,粮食作物2,a21,3,1050,否,否,1,,.,.,.,.,,,.,4,,100,0,75,3,100,160,1,0,0,15,10.7,1,,0,0,0,0,100,40,30,30,,8,0,增加,1,,0,0,0,0,100,450,2.5,0,100,不变,,,,,9999,9999,100,1,,4,,4,0,,.,12,0,240,3,,100,0,210,2,0,0,0,
3703020211,粮食作物1,a1,1,500,是,是,5,,100,0,70,1,1,0,0,4,,100,0,.,.,100,60,0,0,0,15,4,1,,0,0,0,0,100,18,30,10,,1,0,增加,3,,100,0,0,0,50,200,0,0,50,增加,0,,,0,100,1,100,1,,4,,3,0,,.,6,0,0,3,,100,0,60,0.3,0,0,30,柴油费
3703020212,粮食作物1,,.,.,,,,,.,.,.,.,,,.,,,.,.,.,.,,,,.,.,.,,,,.,.,.,.,.,.,.,.,,.,.,,,,.,.,.,.,.,,,.,,,,,,,,.,.,,,,,,.,,.,,.,.,,,.,.,.,.,,.,.,
3703030101,粮食作物1,a1,6,900,是,否,5,,100,0,420,3,2,0,0,4,,100,0,.,.,100,162,0,0,0,30,5.4,6,无,.,.,.,.,.,.,.,.,,.,0,不变,1,,0,0,0,0,50,1140,6,0,50,增加,0,,,,40,0.5,0,4,,7,下雨,0,0,,.,0,0,0,3,,100,0,300,3,0,0,0,
3703030101,粮食作物2,a21,4,1200,是,否,5,,100,0,280,2,2,0,0,4,,100,0,.,.,100,544,0,0,0,16,34,1,,0,0,0,0,100,60,40,120,,6,0,不变,1,,0,0,0,0,50,760,4,0,50,增加,0,,,,40,0.5,0,4,,7,下雨,0,0,,.,0,0,0,3,,100,0,400,4,0,0,0,
3703030102,粮食作物1,a1,1.5,600,是,是,5,,100,0,90,0.5,3,0,0,,,.,.,.,.,5,24,,.,.,8,3,1,,0,0,0,0,100,20,15,30,,0.45,0,不变,1,,0,0,0,0,100,200,0.5,0,30,增加,0,,,,0,.,100,2,,1,,2.5,0,,.,3.75,0,9999,3,,100,0,75,0.17,0.5,0,0,
3703030102,粮食作物2,a21,1.5,1650,是,是,5,,100,0,90,0.5,3,0,0,,,.,.,.,.,5,144,,.,.,6,24,1,,0,0,0,0,100,20,15,30,,0.45,0,不变,1,,0,0,0,0,100,240,0.5,0,30,增加,0,,,,0,.,100,2,,1,,2.5,0,,.,3.75,0,9999,3,,100,0,150,0.17,0.5,0,0,
3703030103,粮食作物1,a1,1.6,320,是,否,5,,100,0,128,0.8,3,2,0,4,,100,0,.,.,0,0,,.,.,15,0,2,,100,100,0,0,100,26,0,0,,4,0,不变,4,,0,0,0,0,100,240,3,0,75,减少,0,,,,0,.,0,4,,7,下雨,,0,,.,0,0,0,3,,100,100,80,0.5,2.2,0,0,
3703030103,粮食作物2,a21,0.9,225,是,否,5,,100,0,72,0.5,3,1.5,0,4,,100,0,.,.,100,102,,.,.,3,34,2,,100,100,0,0,100,30,20,0,,2,0,不变,4,,0,0,0,0,100,130,1.2,0,50,减少,0,,,,0,.,0,4,,7,下雨,,0,,.,0,0,0,1,,0,0,0,0,32,0,0,
3703030104,粮食作物1,a1,1,300,是,是,5,,100,0,60,0.5,2,0,0,,,.,.,.,.,100,37.5,,.,.,12.5,3,1,,0,0,0,0,100,30,0,60,,1,0,增加,3,,100,0,0,0,100,250,0,0,60,增加,0,,,,40,3,0,4,,7,下雨,0,.,,.,,.,.,3,,100,0,50,0.3,0.5,0,0,
3703030104,粮食作物2,a21,1,350,是,是,5,,100,0,60,0.5,2,0,0,,,.,.,.,.,100,52,,.,.,2,26,1,,0,0,0,0,100,30,20,0,,1,0,增加,3,,100,0,0,0,90,250,0,0,50,增加,0,,,,40,3,0,4,,7,下雨,0,.,,.,,.,.,3,,100,0,80,0.5,0.5,0,0,
3703030105,粮食作物1,a1,1.5,600,是,是,5,,100,0,67.5,0.35,0.33,0,0,,,.,.,.,.,,60,,.,.,15,4,2,,100,100,0,0,100,30,20,0,,2,0,增加,,,.,.,.,.,.,234,,.,50,增加,,,,,,.,0,4,,7,下雨,,.,,.,,.,.,3,,100,0,75,0.5,0,0,0,
