varID,var7_0a,var7_0,var7_1,var7_2,var7_3,var7_4,var7_5a,var7_5b,var7_6,var7_7,var7_7a,var7_9,var7_10,var7_11,var7_12,var7_13,var7_14a,var7_14b,var7_14c,var7_15,var7_16,var7_16a,var7_17,var7_18
3703020101,粮食作物1,a1,95,5,0,0,,.,.,,,.,0.5,否,95,5,,.,.,.,,,.,
3703020101,粮食作物2,a21,100,0,0,0,,.,.,,,.,0.5,否,100,0,,.,.,.,,,.,
3703020102,粮食作物1,a21,0,0,100,1,2019,10,100,1,,.92,1.7,是,0,0,2020,10,10,100,1,,9999,不知道
3703020103,粮食作物1,,.,.,.,,,.,.,,,.,,,.,.,,.,.,.,,,.,
3703020104,粮食作物1,,.,.,.,,,.,.,,,.,,,.,.,,.,.,.,,,.,
3703020105,粮食作物1,a1,100,0,0,,,.,.,,,.,,,.,.,,.,.,.,,,.,
3703020105,粮食作物2,b2,100,0,0,,,.,.,,,.,,,.,.,,.,.,.,,,.,
3703020106,粮食作物1,,.,.,.,,,.,.,,,.,,,.,.,,.,.,.,,,.,
3703020107,粮食作物1,a1,100,0,0,,,.,.,,,.,1,否,100,0,,.,.,.,,,.,
3703020107,粮食作物2,a21,100,0,0,,,.,.,,,.,1,否,100,0,,.,.,.,,,.,
3703020108,粮食作物1,a1,100,0,0,0,,.,.,,,.,1,否,100,0,,.,.,.,,,.,
3703020108,粮食作物2,a21,0,0,100,1,2019,8,100,8,,1,1,是,0,0,2019,8,.,100,8,,1.2,
3703020109,粮食作物1,,.,.,.,,,.,.,,,.,,,.,.,,.,.,.,,,.,
3703020110,粮食作物1,a1,100,0,0,,,.,.,,,.,0.1,否,100,0,,.,.,.,,,.,
3703020111,粮食作物1,a1,100,0,0,0,,.,.,,,.,0.6,否,100,0,,.,.,.,,,.,不知道
3703020111,粮食作物2,a21,100,0,0,0,,.,.,,,.,0.6,否,100,0,,.,.,.,,,.,不知道
3703020112,粮食作物1,a1,0,0,100,1,2020,7,100,2,,1.12,0.5,是,0,0,2020,7,.,100,2,,1.12,是
3703020112,粮食作物2,a22,0,0,100,1,2019,10,100,2,,1,0.5,是,0,0,9999,.,.,100,2,,1.25,是
3703020201,粮食作物1,a1,2,0,98,1,2020,6,100,15,,1.15,3,是,2,0,2020,6,.,100,15,,1.15,是
3703020201,粮食作物2,a21,0,0,100,1,2020,4,100,15,,1,1,是,0,0,2020,4,.,100,15,,1,是
3703020202,粮食作物1,a1,100,0,0,,,.,.,,,.,1.1,否,0,0,,.,.,.,,,.,
3703020202,粮食作物2,a21,100,0,0,,,.,.,,,.,1.1,否,0,0,,.,.,.,,,.,
3703020203,粮食作物1,a1,0,0,100,1,2019,6,100,2,,1.64,1,是,0,0,2019,6,1,100,2,,1.2,是
3703020203,粮食作物2,a21,0,0,100,1,2019,10,100,2,,.82,1,否,0,0,2020,5,1,100,2,,1.25,是
3703020204,粮食作物1,a1,2,0,98,1,2019,6,100,2,,1.1,14,是,0,0,2020,7,.,100,2,,1.15,不知道
3703020204,粮食作物2,a21,0,0,100,1,2019,10,100,2,,.98,15,是,0,0,2020,10,.,100,2,,.9,不知道
3703020205,粮食作物1,a1,100,0,0,,,.,.,,,.,1.1,,.,.,,.,.,.,,,.,
3703020205,粮食作物2,a21,80,20,0,,,.,.,,,.,0.9,,.,.,,.,.,.,,,.,
3703020206,粮食作物1,a1,50,0,50,1,2019,6,50,1,,1.1,1,是,50,0,2020,6,.,100,2,,1.1,不知道
