varID,var7_19a,var7_19,var7_20,var7_20a,var7_21,var7_22
3703020101,夏粮,2,,,.,.
3703020101,秋粮,2,,,.,.
3703020102,夏粮,4,,,.,.
3703020102,秋粮,1,2,,20,.
3703020103,夏粮,,,,.,.
3703020104,夏粮,,,,.,.
3703020105,夏粮,1,1,,20,.
3703020105,秋粮,2,,,.,.
3703020106,夏粮,,,,.,.
3703020107,夏粮,2,,,.,.
3703020107,秋粮,2,,,.,.
3703020108,夏粮,2,,,.,.
3703020108,秋粮,2,,,.,.
3703020109,夏粮,,,,.,.
3703020110,夏粮,2,,,.,.
3703020111,夏粮,1,1,,20,.
3703020111,秋粮,4,,,.,.
3703020112,夏粮,2,,,.,.
3703020112,秋粮,1,2,,25,.
3703020201,夏粮,2,,,.,.
3703020201,秋粮,2,,,.,.
3703020202,夏粮,2,,,.,.
3703020202,秋粮,2,,,.,.
3703020203,夏粮,1,8,气候,20,.
3703020203,秋粮,1,2,,50,.
3703020204,夏粮,2,,,.,.
3703020204,秋粮,1,2,,46,.
3703020205,夏粮,2,,,.,.
3703020205,秋粮,1,2,,100,.
3703020206,夏粮,1,1,,30,.
3703020206,秋粮,1,2,,20,.
3703020207,夏粮,,,,.,.
3703020208,夏粮,,,,.,.
3703020209,夏粮,,,,.,.
3703020210,夏粮,1,9999,,20,.
3703020210,秋粮,1,2,,20,.
3703020211,夏粮,,,,.,.
3703020212,夏粮,,,,.,.
3703030101,夏粮,3,,,.,50
3703030102,夏粮,2,,,.,.
3703030102,秋粮,1,2,,5,.
3703030103,夏粮,4,,,.,.
3703030103,秋粮,1,2,,50,.
3703030104,夏粮,2,,,.,.
3703030104,秋粮,1,2,,9999,.
3703030105,夏粮,2,,,.,.
3703030105,秋粮,2,,,.,.
3703030106,夏粮,2,,,.,.
3703030106,秋粮,4,,,.,.
3703030107,夏粮,2,,,.,.
3703030108,夏粮,3,,,.,10
3703030108,秋粮,2,,,.,.
3703030109,夏粮,2,,,.,.
3703030109,秋粮,1,2,,50,.
3703030110,夏粮,2,,,.,.
3703030110,秋粮,2,,,.,.
3703030111,夏粮,2,,,.,.
3703030112,夏粮,2,,,.,.
3703030112,秋粮,2,,,.,.
3703030201,夏粮,2,,,.,.
3703030201,秋粮,2,,,.,.
3703030202,夏粮,4,,,.,.
3703030202,秋粮,1,2,,20,.
3703030203,夏粮,1,,,.,.
3703030203,秋粮,3,,,.,9999
3703030204,夏粮,4,,,.,.
3703030204,秋粮,4,,,.,.
3703030205,夏粮,1,6,,10,.
3703030205,秋粮,1,2,,30,.
3703030206,夏粮,1,9999,,30,.
3703030206,秋粮,2,,,.,.
3703030207,夏粮,2,,,.,.
3703030207,秋粮,2,,,.,.
3703030208,夏粮,,,,.,.
3703030209,夏粮,,,,.,.
3703030210,夏粮,2,,,.,.
3703030211,夏粮,2,,,.,.
3703030212,夏粮,1,8,肥料差,30,.
3703010101,夏粮,2,,,.,.
3703010101,秋粮,2,,,.,.
3703010102,夏粮,2,,,.,.
3703010102,秋粮,2,,,.,.
3703010103,夏粮,1,1,,20,.
3703010103,秋粮,4,,,.,.
3703010104,夏粮,2,,,.,.
3703010104,秋粮,2,,,.,.
3703010105,夏粮,,,,.,.
3703010106,夏粮,1,2,,10,.
3703010106,秋粮,1,2,,50,.
3703010107,夏粮,1,1,,20,.
3703010107,秋粮,1,2,,30,.
3703010108,夏粮,1,8,气候异常,50,.
3703010108,秋粮,2,,,.,.
3703010109,夏粮,1,8,倒春寒,.,.
3703010109,秋粮,1,2,,9999,.
3703010110,夏粮,1,8,气候,20,.
3703010110,秋粮,1,2,,20,.
3703010111,夏粮,,,,.,.
3703010112,夏粮,3,,,.,10
3703010112,秋粮,3,,,.,10
3703010201,夏粮,1,1,,50,.
3703010201,秋粮,4,,,.,.
3703010202,夏粮,1,8,菌病,40,.
3703010202,秋粮,1,2,,10,.
3703010203,夏粮,1,1,,50,.
3703010203,秋粮,2,,,.,.
3703010204,夏粮,1,6,,30,.
3703010204,秋粮,1,2,,40,.
3703010205,夏粮,1,3,,20,.
3703010205,秋粮,1,2,,20,.
3703010206,夏粮,1,6,,10,.
3703010206,秋粮,2,,,.,.
3703010207,夏粮,1,2,,20,.
3703010207,秋粮,1,2,,20,.
3703010208,夏粮,1,8,病害,50,.
3703010208,秋粮,1,2,,60,.
3703010209,夏粮,2,,,.,.
3703010209,秋粮,2,,,.,.
3703010210,夏粮,1,1,,20,.
3703010210,秋粮,2,,,.,.
3703010211,夏粮,,,,.,.
3703010212,夏粮,1,1,,30,.
3703010212,秋粮,1,2,,30,.
3701030201,夏粮,2,,,.,.
3701030201,秋粮,2,,,.,.
3701030202,夏粮,1,1,,20,.
3701030202,秋粮,2,,,.,.
3701030203,夏粮,1,2,,20,.
3701030203,秋粮,1,2,,20,.
3701030204,夏粮,3,,,.,5
3701030204,秋粮,2,,,.,.
3701030205,夏粮,,,,.,.
3701030206,夏粮,2,,,.,.
3701030206,秋粮,2,,,.,.
3701030207,夏粮,1,1,,6,.
3701030207,秋粮,4,,,.,.
3701030208,夏粮,3,,,.,9999
3701030208,秋粮,3,,,.,9999
3701030209,夏粮,1,1,,30,.
3701030209,秋粮,1,1,,30,.
3701030210,夏粮,2,,,.,.
3701030210,秋粮,2,,,.,.
3701030211,夏粮,2,,,.,.
3701030211,秋粮,4,,,.,.
3701030212,夏粮,1,2,,10,.
3701030212,秋粮,1,2,,10,.
3701030101,夏粮,3,,,.,10
3701030101,秋粮,4,,,.,.
3701030102,夏粮,2,,,.,.
3701030102,秋粮,2,,,.,.
3701030103,夏粮,2,,,.,.
3701030103,秋粮,2,,,.,.
3701030104,夏粮,2,,,.,.
3701030104,秋粮,2,,,.,.
3701030105,夏粮,2,,,.,.
3701030105,秋粮,2,,,.,.
3701030106,夏粮,2,,,.,.
3701030106,秋粮,2,,,.,.
3701030107,夏粮,,,,.,.
3701030108,夏粮,,,,.,.
3701030109,夏粮,2,,,.,.
3701030109,秋粮,2,,,.,.
3701030110,夏粮,1,1,,2,.
3701030110,秋粮,4,,,.,.
3701030111,夏粮,1,1,,20,.
3701030111,秋粮,1,2,,20,.
3701030112,夏粮,1,1,,10,.
3701030112,秋粮,2,,,.,.
3701020201,夏粮,,,,.,.
3701020202,夏粮,3,,,.,10
3701020202,秋粮,1,1,,9999,.
3701020203,夏粮,,,,.,.
3701020204,夏粮,,,,.,.
3701020205,夏粮,3,,,.,20
3701020205,秋粮,1,1,,10,.
3701020206,夏粮,,,,.,.
3701020207,夏粮,,,,.,.
3701020208,夏粮,,,,.,.
3701020209,夏粮,,,,.,.
3701020210,夏粮,,,,.,.
3701020211,夏粮,,,,.,.
3701020212,夏粮,,,,.,.
3701010201,夏粮,,,,.,.
3701010202,夏粮,,,,.,.
3701010203,夏粮,,,,.,.
3701010204,夏粮,,,,.,.
3701010205,夏粮,,,,.,.
3701010206,夏粮,,,,.,.
3701010207,夏粮,,,,.,.
3701010208,夏粮,,,,.,.
3701010209,夏粮,,,,.,.
3701010210,夏粮,,,,.,.
3701010211,夏粮,,,,.,.
3701010212,夏粮,,,,.,.
3701010101,夏粮,,,,.,.
3701010102,夏粮,,,,.,.
3701010103,夏粮,,,,.,.
3701010104,夏粮,,,,.,.
3701010105,夏粮,,,,.,.
3701010106,夏粮,,,,.,.
3701010107,夏粮,1,1,,20,.
3701010107,秋粮,1,1,,20,.
3701010108,夏粮,,,,.,.
3701010109,夏粮,,,,.,.
