varID,var8_1,var8_1a,var8_2,var8_3,var8_4,var8_5,var8_6,var8_6a,var8_7,var8_8,var8_8a,var8_9,var8_10,var8_10a,var8_11,var8_12,var8_13,var8_14,var8_14a,var8_15,var8_16,var8_16a,var8_17,var8_18,var8_19,var8_20,var8_20a,var8_21,var8_22,var8_23,var8_23a,var8_24,var8_25,var8_26,var8_26a,var8_27,var8_27a,var8_28,var8_29,var8_29a,var8_30,var8_31,var8_32
3703020101,0,,0,否,,,6,,9999.0,10,,都不够及时,10,,完全不满足,比较困难,否,,,2,1,,从未,否,否,,,,.,,,.,.,,,,,,6,无,否,否,否
3703020102,2,,2,是,有些困难,1.5,"6,1,3",,非常好,1,,仅部分及时,"5,6,7",,基本满足,有时可以,否,,,9999,3,,从未,否,否,,,,.,,,.,.,,,,,,5,,否,否,没有产品卖或不适合回答
3703020103,0,,0,否,,,6,,9999.0,10,,都不够及时,10,,完全不满足,比较困难,否,,,1,1,,从未,否,否,,,,.,,,.,.,,,,,,6,无,否,否,没有产品卖或不适合回答
3703020104,1,,3,是,不存在困难,4,"2,3,1",,非常好,"1,2,6",,都很及时,10,,基本满足,完全可以,否,,,1,2,,从未,否,否,,,,.,,,.,.,,,,,,5,,否,否,没有产品卖或不适合回答
3703020105,1,,1,否,,,6,,,10,,,10,,,有时可以,否,,,2,1,,从未,否,否,,,,.,,,.,.,,,,,,5,,否,否,否
3703020106,"1,2,3",,3,是,不存在困难,1,"3,2,6",,非常好,"1,2",,都很及时,10,,基本满足,比较困难,否,,,5,1,,从未,否,否,,,,.,,,.,.,,,,,,6,无,否,否,没有产品卖或不适合回答
3703020107,1,,1,是,较困难，只用来打电话,1,6,,非常好,10,,,10,,完全满足,比较困难,否,,,1,1,,从未,否,否,,,,.,,,.,.,,,,,,,,否,否,否
3703020108,0,,0,否,,,,,,,,,,,,,否,,,1,1,,从未,否,否,,,,.,,,.,.,,,,,,5,,否,否,否
3703020109,0,,0,否,,,6,,,10,,,10,,,比较困难,否,,,1,1,,从未,否,否,,,,.,,,.,.,,,,,,6,无,否,否,否
3703020110,1,,1,是,不存在困难,2,"1,2,6",,非常好,"4,5,8",,都很及时,10,,完全满足,完全可以,否,,,1,2,,有时,否,否,,,,.,,,.,.,,,,,,4,,否,是,否
3703020111,1,,3,是,不存在困难,3,"6,2,1",,非常好,1,,都很及时,1,,完全满足,完全可以,否,,,1,1,,从未,否,否,,,,.,,,.,.,,,,,,5,,否,否,没有产品卖或不适合回答
3703020112,"1,3",,4,是,不存在困难,2,"5,1,6",,非常好,"1,8",,都很及时,10,,完全满足,完全可以,是,2,,1,2,,经常,否,否,,,,.,,,.,.,,,,,,5,,否,否,是
3703020201,"1,3",,3,是,不存在困难,8,"5,6,2",,非常好,"3,5,7",,都很及时,10,,完全满足,完全可以,是,2,,1,1,,有时,否,否,,,,.,,,.,.,,,,,,5,,否,否,是
3703020202,1,,3,是,不存在困难,2,"6,5,2",,非常好,"1,2,3",,都很及时,4,,基本满足,完全可以,是,1,,1,1,,经常,是,否,,,,.,,,.,.,,,,,,6,无,否,否,否
3703020203,1,,3,是,不存在困难,4,"6,2,1",,非常好,"1,3",,都很及时,"6,7",,基本满足,完全可以,否,,,1,"2,3",,经常,否,否,,,,.,,,.,.,,,,,,5,,否,否,没有产品卖或不适合回答
3703020204,1,,3,是,有些困难,1.5,"3,2,6",,非常好,"2,3,1",,仅部分及时,"4,7,8",,基本满足,比较困难,否,,,1,1,,从未,否,否,,,,.,,,.,.,,,,,,6,无,否,否,否
3703020205,1,,1,是,有些困难,2,"3,6",,可以，偶尔断网,2,,都很及时,10,,基本满足,有时可以,否,,,2,1,,从未,是,否,,,,.,,,.,.,,,,,,5,,否,否,否
3703020206,1,,3,是,有些困难,3,"1,2,3",,非常好,"1,2,3",,都很及时,,,基本满足,完全可以,否,,,1,1,,从未,否,否,,,,.,,,.,.,,,,,,5,,否,否,否
3703020207,"1,2,3",,4,是,不存在困难,3,"2,3,6",,非常好,10,,,10,,完全满足,完全可以,否,,,1,2,,经常,否,否,,,,.,,,.,.,,,,,,,,否,否,否
3703020208,1,,2,是,不存在困难,3,"3,2,6",,非常好,2,,都很及时,10,,基本满足,完全可以,否,,,1,2,,从未,否,否,,,,.,,,.,.,,,,,,6,无,否,否,没有产品卖或不适合回答
3703020209,1,,3,是,不存在困难,2,"1,3,2",,非常好,"1,2,3",,都很及时,10,,完全满足,完全可以,否,,,1,1,,很少,否,否,,,,.,,,.,.,,,,,,6,无,否,否,否
3703020210,1,,2,是,不存在困难,2.5,"6,3,2",,非常好,2,,都很及时,10,,完全满足,完全可以,否,,,1,2,,从未,否,否,,,,.,,,.,.,,,,,,5,,否,否,否
3703020211,1,,3,是,不存在困难,3,"3,1,6",,非常好,1,,都很及时,10,,基本满足,完全可以,否,,,1,1,,有时,否,否,,,,.,,,.,.,,,,,,5,,否,否,否
3703020212,1,,3,是,不存在困难,1,"6,2,1",,非常好,1,,都很及时,1,,基本满足,完全可以,否,,,1,2,,有时,否,否,,,,.,,,.,.,,,,,,6,无,否,否,没有产品卖或不适合回答
3703030101,1,,2,是,不存在困难,1,"6,3",,可以，偶尔断网,10,,,10,,完全满足,有时可以,否,,,2,3,,从未,否,否,,,,.,,,.,.,,,,,,5,,否,否,否
3703030102,1,,3,是,不存在困难,8,"6,1,3",,可以，偶尔断网,"1,3,5",,都很及时,10,,基本满足,完全可以,否,,,1,1,,有时,否,否,,,,.,,,.,.,,,,,,5,,否,否,没有产品卖或不适合回答
3703030103,0,,0,否,,,6,,9999.0,10,,都不够及时,10,,9999.0,比较困难,否,,,9999,1,,从未,否,否,,,,.,,,.,.,,,,,,5,,否,否,没有产品卖或不适合回答
3703030104,0,,0,否,,,6,,9999.0,10,,都不够及时,10,,完全不满足,比较困难,否,,,1,3,,从未,否,否,,,,.,,,.,.,,,,,,2,,否,否,没有产品卖或不适合回答
3703030105,0,,0,否,,,6,,9999.0,10,,,10,,完全不满足,比较困难,否,,,1,3,,从未,否,否,,,,.,,,.,.,,,,,,5,,否,否,否
3703030106,0,,0,否,,,6,,9999.0,10,,都不够及时,10,,,比较困难,否,,,1,1,,从未,否,否,,,,.,,,.,.,,,,,,5,,否,否,是
3703030107,0,,0,否,,,6,,较差，经常断网,3,,都很及时,10,,一般,比较困难,否,,,2,1,,从未,否,否,,,,.,,,.,.,,,,,,5,,否,否,否
3703030108,1,,1,是,较困难，只用来打电话,1,6,,非常好,10,,,10,,,,否,,,1,2,,有时,否,否,,,,.,,,.,.,,,,,,5,,否,否,否
3703030109,0,,0,否,,,6,,较差，经常断网,10,,,10,,一般,比较困难,否,,,5,3,,从未,否,否,,,,.,,,.,.,,,,,,5,,否,否,否
3703030110,0,,0,否,,,6,,,10,,,10,,,完全可以,否,,,1,1,,从未,否,否,,,,.,,,.,.,,,,,,5,,否,否,否
3703030111,1,,2,否,,,6,,9999.0,10,,都不够及时,10,,一般,比较困难,否,,,1,1,,从未,否,否,,,,.,,,.,.,,,,,,5,,否,否,否
3703030112,0,,0,否,,,6,,较差，经常断网,1,,都不够及时,"1,5",,不太满足,比较困难,否,,,1,3,,从未,否,否,,,,.,,,.,.,,,,,,5,,否,否,没有产品卖或不适合回答
3703030201,1,,4,是,不存在困难,2,"6,3,2",,较差，经常断网,1,,仅部分及时,"5,6,7",,一般,完全可以,是,1,,1,1,,有时,否,否,,,,.,,,.,.,,,,,,5,,否,否,否
3703030202,1,,2,是,不存在困难,2,"6,2,3",,非常好,"5,6",,仅部分及时,"2,7,8",,基本满足,完全可以,否,,,1,3,,有时,否,是,1,,2,2019,8,,0,.25,9999,,8,无,否,6,无,否,否,是
3703030203,0,,0,否,,,6,,9999.0,10,,,10,,完全不满足,比较困难,否,,,1,1,,从未,否,否,,,,.,,,.,.,,,,,,6,无,否,否,没有产品卖或不适合回答
3703030204,0,,0,否,,,6,,,10,,,10,,,,否,,,1,1,,从未,否,否,,,,.,,,.,.,,,,,,5,,否,否,否
3703030205,1,,4,是,有些困难,3,"6,2",,非常好,"2,3",,仅部分及时,10,,基本满足,有时可以,否,,,3,2,,从未,否,否,,,,.,,,.,.,,,,,,5,,否,否,否
3703030206,1,,1,是,较困难，只用来打电话,1,"6,3",,非常好,10,,,10,,,,否,,,1,1,,从未,否,否,,,,.,,,.,.,,,,,,5,,否,否,否
3703030207,0,,0,否,,,6,,较差，经常断网,10,,,10,,,比较困难,否,,,1,2,,从未,否,否,,,,.,,,.,.,,,,,,5,,否,否,否
3703030208,1,,3,是,不存在困难,5,"1,5,6",,非常好,8,,都很及时,10,,完全满足,完全可以,否,,,1,2,,很少,否,否,,,,.,,,.,.,,,,,,6,无,否,否,否
3703030209,0,,0,否,,,6,,,10,,,10,,,比较困难,否,,,1,1,,从未,否,否,,,,.,,,.,.,,,,,,6,无,否,否,否
3703030210,1,,1,是,,1,6,,较差，经常断网,1,,都不够及时,1,,不太满足,比较困难,否,,,9999,3,,从未,否,否,,,,.,,,.,.,,,,,,6,无,否,否,没有产品卖或不适合回答
3703030211,0,,0,否,,,6,,9999.0,10,,,10,,基本满足,比较困难,否,,,9999,3,,从未,否,否,,,,.,,,.,.,,,,,,5,,否,否,否
