varID,var9_1,var9_1a,var9_2,var9_2a,var9_3,var9_4,var9_5,var9_6,var9_7,var9_8,var9_9,var9_10,var9_11,var9_11a,var9_12,var9_13,var9_14,var9_15,var9_16,var9_17,var9_18,var9_18a,var9_19,var9_19a,var9_20a,var9_20b,var9_21,var9_22,var9_23,var9_24,var9_25,var9_26,var9_26a,var9_27,var9_27a,var9_28,var9_28a,var9_29,var9_30,var9_31,var9_32,var9_32a,var9_33,var9_33a,var9_34,var9_35,var9_36,var9_37,var9_38,var9_39,var9_40,var9_40a,var9_41,var9_42,var9_43,var9_44,var9_44a,var9_45,var9_46,var9_47,var9_48,var9_49,var9_50
3703020101,1,,1,,3,不知道,,,都没有过,.,.,.,,,从未,从未,从未,从未,否,,0,,,,.,.,.,.,.,.,.,,,,,,,,.,.,,,,,.,.,.,.,.,,,,.,.,.,,,0,0,0,1,2,0
3703020102,1,,1,,4,否,,,都没有过,.,.,.,,,从未,从未,从未,从未,否,,0,,,,.,.,.,.,.,.,.,,,,,,,,.,.,,,,,.,.,.,.,.,,,,.,.,.,,,0,0,0,.2,12,0
3703020103,1,,1,,10,不知道,,,都没有过,.,.,.,,,从未,从未,从未,从未,否,,0,,,,.,.,.,.,.,.,.,,,,,,,,.,.,,,,,.,.,.,.,.,,,,.,.,.,,,0,0,0,.05,1,0
3703020104,1,,1,,0,不知道,,,都没有过,.,.,.,,,从未,从未,从未,从未,否,,0,,,,.,.,.,.,.,.,.,,,,,,,,.,.,,,,,.,.,.,.,.,,,,.,.,.,,,9999,0,0,8,12,0
3703020105,1,,1,,0,否,,,都没有过,.,.,.,,,从未,从未,从未,从未,否,,0,,,,.,.,.,.,.,.,.,,,,,,,,.,.,,,,,.,.,.,.,.,,,,.,.,.,,,0,0,0,5,10,0
3703020106,1,,1,,10,不知道,,,都没有过,.,.,.,,,从未,从未,从未,从未,否,,0,,,,.,.,.,.,.,.,.,,,,,,,,.,.,,,,,.,.,.,.,.,,,,.,.,.,,,0,0,0,3,5,0
3703020107,1,,1,,5,否,,,都没有过,.,.,.,,,从未,从未,从未,从未,否,,0,,,,.,.,.,.,.,.,.,,,,,,,,.,.,,,,,.,.,.,.,.,,,,.,.,.,,,0,0,0,1,0.5,0
3703020108,1,,1,,5,否,,,都没有过,.,.,.,,,从未,从未,从未,从未,否,,0,,,,.,.,.,.,.,.,.,,,,,,,,.,.,,,,,.,.,.,.,.,,,,.,.,.,,,0,0,1,.05,9,0
3703020109,1,,1,,4,否,,,都没有过,.,.,.,,,从未,从未,从未,从未,否,,0,,,,.,.,.,.,.,.,.,,,,,,,,.,.,,,,,.,.,.,.,.,,,,.,.,.,,,0,0,0,.01,4,0
3703020110,2,,8,,3,否,,,都没有过,.,.,.,,,从未,从未,从未,从未,否,,0,,,,2018,6,30,30,9999,300,300,2,,1,,,,,30,0,9,,3,,.,.,.,.,.,,,,.,.,.,,,.5,25,0,.2,0,0
3703020111,1,,1,,5,不知道,,,都没有过,.,.,.,,,从未,从未,从未,从未,否,,0,,,,.,.,.,.,.,.,.,,,,,,,,.,.,,,,,.,.,.,.,.,,,,.,.,.,,,0,0,0,.3,60,0
3703020112,2,,1,,2,不知道,,,都没有过,.,.,.,,,从未,从未,从未,从未,否,,0,,,,.,.,.,.,.,.,.,,,,,,,,.,.,,,,,.,.,.,.,.,,,,.,.,.,,,0,0,0,8888,8888,0
3703020201,1,,1,,4,是,3,1,都没有过,.,.,.,,,从未,从未,从未,从未,否,,6,,,,2014,6,39,39,.4,240,240,2,,1,,,,,7,0,9,,4,,.,.,.,.,.,,,,.,.,.,,,.78,11.7,3,.5,10,0
